method,provenance,TP,TN,FN,FP,sensitivity,specificity,precision,f1
"CorpusSLR (defaults, cluster-level)",this study,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067
"CorpusSLR (defaults, first-id survivor)",this study,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
"CorpusSLR (defaults, richest survivor)",this study,1059,383,202,201,0.8398096748612213,0.6558219178082192,0.8404761904761905,0.8401428004760016
CorpusSLR (identifier cascade only),"this study, ablation",1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067
"CorpusSLR + DOI title-guard (min=0.5, thr=0.9)","this study, proposed fix (simulated)",1259,577,2,7,0.9984139571768438,0.988013698630137,0.9944707740916272,0.996438464582509
Human (recomputed from label column),this study,891,579,370,5,0.7065820777160984,0.9914383561643836,0.9944196428571429,0.8261474269819193
ASySD,"Hair et al. 2023, Table 4",1259,584,2,0,0.9984139571768438,1.0,1.0,0.9992063492063492
EndNote,"Hair et al. 2023, Table 4",1218,584,43,0,0.9659000793021412,1.0,1.0,0.982654296087132
SRA-DM,"Hair et al. 2023, Table 4",1147,514,114,70,0.9095955590800952,0.8801369863013698,0.942481511914544,0.9257465698143664
Human (published),"Hair et al. 2023, Table 4",893,581,368,3,0.7081681205392546,0.9948630136986302,0.9966517857142857,0.8280018544274456
