fuzzy_threshold,year_tolerance,n_clusters,doi_merges,fuzzy_merges,cluster_TP,cluster_TN,cluster_FN,cluster_FP,cluster_sensitivity,cluster_specificity,cluster_precision,cluster_f1,firstid_TP,firstid_TN,firstid_FN,firstid_FP,firstid_sensitivity,firstid_specificity,firstid_precision,firstid_f1
0.8,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.81,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.82,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.83,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.84,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.85,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.86,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.87,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.88,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.89,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.9,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.91,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.92,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.93,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.94,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.95,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.96,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.97,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.98,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.99,0,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.8,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.81,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.82,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.83,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.84,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.85,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.86,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.87,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.88,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.89,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.9,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.91,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.92,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.93,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.94,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.95,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.96,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.97,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.98,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.99,1,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.8,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.81,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.82,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.83,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.84,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.85,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.86,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.87,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.88,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.89,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.9,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.91,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.92,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.93,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.94,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.95,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.96,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.97,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.98,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
0.99,2,585,830,430,1260,584,1,0,0.9992069785884219,1.0,1.0,0.9996033320111067,1242,566,19,18,0.9849325931800159,0.9691780821917808,0.9857142857142858,0.9853232844109481
